회사명,직무,링크
[베스텔라랩] 빅데이터 엔지니어,데이터 사이언티스트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=44122294&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=recently&paid_fl=n&search_uuid=33adf848-f2b4-483d-923a-290081d6f872
2023 상반기 연구원/AI(인공지능)/빅데이터 공개채용,데이터 사이언티스트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45286919&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=recently&paid_fl=n&search_uuid=33adf848-f2b4-483d-923a-290081d6f872
(신입 경력) Research Team Researcher 채용,데이터 사이언티스트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45185907&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=recently&paid_fl=n&search_uuid=33adf848-f2b4-483d-923a-290081d6f872
마케팅 Data Analyst,데이터 사이언티스트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45200026&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=recently&paid_fl=n&search_uuid=33adf848-f2b4-483d-923a-290081d6f872
2023년 DIgital Lab 전문계약직 상시모집,데이터 사이언티스트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45215437&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=recently&paid_fl=n&search_uuid=33adf848-f2b4-483d-923a-290081d6f872
각 부문 신입/경력/계약직 채용,데이터 사이언티스트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=39666830&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=recently&paid_fl=n&search_uuid=33adf848-f2b4-483d-923a-290081d6f872
"2023년 상반기 Android/데이터분석/Spring/Java 경력, 신입 채용",데이터 사이언티스트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45330369&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=recently&paid_fl=n&search_uuid=33adf848-f2b4-483d-923a-290081d6f872
Data Business (Data엔지니어/컨설턴트) 채용,데이터 사이언티스트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45298457&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=recently&paid_fl=n&search_uuid=33adf848-f2b4-483d-923a-290081d6f872
[스마트팜 1위 기업 NEXTON] (SW/HW) 개발팀 인재채용,데이터 사이언티스트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45235502&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=recently&paid_fl=n&search_uuid=33adf848-f2b4-483d-923a-290081d6f872
[EY한영] 컨설팅부문 Health Sector팀 인재 모집,데이터 사이언티스트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45222501&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=recently&paid_fl=n&search_uuid=33adf848-f2b4-483d-923a-290081d6f872
"[양재역] 데이터분석(석박사,R,Python,Matla",데이터 사이언티스트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45270248&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=recently&paid_fl=n&search_uuid=33adf848-f2b4-483d-923a-290081d6f872
2023년 상반기 AIMMO 정규직 경력사원 채용 진행,데이터 사이언티스트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45207177&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=recently&paid_fl=n&search_uuid=33adf848-f2b4-483d-923a-290081d6f872
[토스뱅크] CSS Modeler (신용평가모형),데이터 사이언티스트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45021741&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=recently&paid_fl=n&search_uuid=33adf848-f2b4-483d-923a-290081d6f872
ML Reseach&Development 채용(전문연구요원 가능),데이터 사이언티스트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=44959043&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=recently&paid_fl=n&search_uuid=33adf848-f2b4-483d-923a-290081d6f872
AI 데이터 분석 및 모델링 (팀장급),데이터 사이언티스트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=44963366&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=recently&paid_fl=n&search_uuid=33adf848-f2b4-483d-923a-290081d6f872
[miso] Data Engineer,데이터 사이언티스트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=44760964&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=recently&paid_fl=n&search_uuid=33adf848-f2b4-483d-923a-290081d6f872
데이터 엔지니어,데이터 사이언티스트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45214519&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=recently&paid_fl=n&search_uuid=33adf848-f2b4-483d-923a-290081d6f872
